"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
119,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand",119,"Ulundi",NA,"KZN266","Local Municipality","Local Municipality","",""
120,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand",120,"UPhongolo",NA,"KZN262","Local Municipality","Local Municipality","",""
121,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn",121,"Aganang",NA,"LIM352","Local Municipality","Local Municipality","",""
122,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn",122,"Blouberg",NA,"LIM351","Local Municipality","Local Municipality","",""
123,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn",123,"Lepele-Nkumpi",NA,"LIM355","Local Municipality","Local Municipality","",""
124,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn",124,"Molemole",NA,"LIM353","Local Municipality","Local Municipality","",""
125,211,"ZAF","South Africa",5,"Limpopo",30,"Capricorn",125,"Polokwane",NA,"LIM354","Local Municipality","Local Municipality","",""
126,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani",126,"Ba-Phalaborwa",NA,"LIM334","Local Municipality","Local Municipality","",""
127,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani",127,"Greater Giyani",NA,"LIM331","Local Municipality","Local Municipality","",""
128,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani",128,"Greater Letaba",NA,"LIM332","Local Municipality","Local Municipality","",""
129,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani",129,"Greater Tzaneen",NA,"LIM333","Local Municipality","Local Municipality","",""
130,211,"ZAF","South Africa",5,"Limpopo",31,"Mopani",130,"Maruleng",NA,"LIM335","Local Municipality","Local Municipality","",""
131,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune",131,"Elias Motsoaledi",NA,"LIM472","Local Municipality","Local Municipality","",""
132,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune",132,"Ephraim Mogale",NA,"LIM471","Local Municipality","Local Municipality","",""
133,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune",133,"Fetakgomo",NA,"LIM474","Local Municipality","Local Municipality","",""
134,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune",134,"Greater Tubatse",NA,"LIM475","Local Municipality","Local Municipality","",""
135,211,"ZAF","South Africa",5,"Limpopo",32,"Sekhukhune",135,"Makhuduthamaga",NA,"LIM473","Local Municipality","Local Municipality","",""
136,211,"ZAF","South Africa",5,"Limpopo",33,"Vhembe",136,"Makhado",NA,"LIM344","Local Municipality","Local Municipality","",""
137,211,"ZAF","South Africa",5,"Limpopo",33,"Vhembe",137,"Musina",NA,"LIM341","Local Municipality","Local Municipality","",""
138,211,"ZAF","South Africa",5,"Limpopo",33,"Vhembe",138,"Mutale",NA,"LIM342","Local Municipality","Local Municipality","",""
139,211,"ZAF","South Africa",5,"Limpopo",33,"Vhembe",139,"Thulamela",NA,"LIM343","Local Municipality","Local Municipality","",""
140,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",140,"Bela-Bela",NA,"LIM366","Local Municipality","Local Municipality","",""
141,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",141,"Lephalale",NA,"LIM362","Local Municipality","Local Municipality","",""
142,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",142,"Modimolle",NA,"LIM365","Local Municipality","Local Municipality","",""
143,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",143,"Mogalakwena",NA,"LIM367","Local Municipality","Local Municipality","",""
144,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",144,"Mookgopong",NA,"LIM364","Local Municipality","Local Municipality","",""
145,211,"ZAF","South Africa",5,"Limpopo",34,"Waterberg",145,"Thabazimbi",NA,"LIM361","Local Municipality","Local Municipality","",""
146,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni",146,"Bushbuckridge",NA,"MP325","Local Municipality","Local Municipality","",""
147,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni",147,"Mbombela",NA,"MP322","Local Municipality","Local Municipality","",""
148,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni",148,"Nkomazi",NA,"MP324","Local Municipality","Local Municipality","",""
149,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni",149,"Thaba Chweu",NA,"MP321","Local Municipality","Local Municipality","",""
150,211,"ZAF","South Africa",6,"Mpumalanga",35,"Ehlanzeni",150,"Umjindi",NA,"MP323","Local Municipality","Local Municipality","",""
151,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",151,"Albert Luthuli",NA,"MP301","Local Municipality","Local Municipality","",""
152,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",152,"Dipaleseng",NA,"MP306","Local Municipality","Local Municipality","",""
153,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",153,"Govan Mbeki",NA,"MP307","Local Municipality","Local Municipality","",""
154,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",154,"Lekwa",NA,"MP305","Local Municipality","Local Municipality","",""
155,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",155,"Mkhondo",NA,"MP303","Local Municipality","Local Municipality","",""
156,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",156,"Msukaligwa",NA,"MP302","Local Municipality","Local Municipality","",""
157,211,"ZAF","South Africa",6,"Mpumalanga",36,"Gert Sibande",157,"Pixley Ka Seme",NA,"MP304","Local Municipality","Local Municipality","",""
